salary,pcsalary,sales,roe,pcroe,ros,indus,finance,consprod,utility,lsalary,lsales
1095,20,27595,14.10000038,106.4000015,191,1,0,0,0,6.998509407,10.22538948
1001,32,9958,10.89999962,-30.60000038,13,1,0,0,0,6.908754826,9.206131935
1122,9,6125.899902,23.5,-16.29999924,14,1,0,0,0,7.022868156,8.720280647
578,-9,16246,5.900000095,-25.70000076,-21,1,0,0,0,6.359573841,9.695602417
1368,7,21783.19922,13.80000019,-3,56,1,0,0,0,7.221105099,9.988894463
1145,5,6021.399902,20,1,55,1,0,0,0,7.043159962,8.703075409
1078,10,2266.699951,16.39999962,-5.900000095,62,1,0,0,0,6.982862949,7.726080418
1094,7,2966.800049,16.29999924,-1.600000024,44,1,0,0,0,6.997595787,7.995239258
1237,16,4570.200195,10.5,-70.19999695,37,1,0,0,0,7.120444298,8.427311897
833,5,2830,26.29999924,-23.89999962,37,1,0,0,0,6.72503376,7.948031902
567,7,596.7999878,25.89999962,39.5,109,1,0,0,0,6.340359211,6.391582012
933,-3,19773,26.79999924,-26.79999924,-10,1,0,0,0,6.838405132,9.892072678
1339,-9,40047,14.80000019,12.10000038,41,1,0,0,0,7.199678421,10.59780884
937,9,2513.800049,22.29999924,9.800000191,44,1,0,0,0,6.842683315,7.829550743
2011,49,1580.599976,56.29999924,62.20000076,63,1,0,0,0,7.606387615,7.365559578
1585,4,6754,12.60000038,9.300000191,17,1,0,0,0,7.368339539,8.817890167
905,12,1066.300049,20.39999962,33.79999924,141,1,0,0,0,6.807934761,6.971950054
1058,94,3199.899902,1.899999976,-86.80000305,-15,1,0,0,0,6.964135647,8.070875168
922,48,1452.699951,19.89999962,97.30000305,56,1,0,0,0,6.826545238,7.281178951
1220,-7,8995,15.39999962,19.5,28,1,0,0,0,7.106606007,9.104424477
1022,16,1212.300049,38.70000076,162.8999939,83,1,0,0,0,6.929516792,7.100274563
759,12,2824.199951,16.39999962,-9.399999619,21,1,0,0,0,6.632001877,7.945980549
1414,0,7621,24.39999962,-30.20000076,-10,1,0,0,0,7.254178047,8.938662529
1041,-11,4418.299805,15.60000038,-7.5,74,1,0,0,0,6.947937012,8.393509865
1688,1,12343,14.39999962,-16.79999924,15,1,0,0,0,7.431299686,9.420844078
2983,13,57662,19,9.899999619,42,1,0,0,0,8.000684738,10.96235371
1160,0,4319.700195,16.10000038,-23.29999924,-2,1,0,0,0,7.056175232,8.370941162
3844,61,20604,12.10000038,-5.900000095,18,1,0,0,0,8.254268646,9.933240891
476,6,611.2999878,16.20000076,-15.69999981,40,1,0,0,0,6.165417671,6.415587902
1492,10,12431.7002,18.39999962,-23.29999924,58,1,0,0,0,7.307872772,9.428005219
1024,-3,8169,14.19999981,-36.20000076,-10,1,0,0,0,6.931471825,9.008101463
1593,18,20659,14.89999962,410.2999878,16,1,0,0,0,7.373374462,9.93590641
427,27,3072.100098,12.39999962,-17.70000076,61,1,0,0,0,6.056784153,8.030117035
829,5,1669.099976,17.10000038,-39.29999924,64,1,0,0,0,6.720220089,7.420039654
797,-3,2401.199951,16.89999962,6,39,1,0,0,0,6.680854797,7.783723831
577,23,3043.600098,18.10000038,-13.5,1,1,0,0,0,6.357842445,8.020796776
1342,7,6222.200195,10.89999962,-6,59,1,0,0,0,7.201916218,8.735878944
1774,0,7727.899902,19.29999924,15.30000019,19,1,0,0,0,7.480992317,8.95259285
709,11,719.5,18.29999924,4.599999905,65,1,0,0,0,6.563855648,6.578556538
860,28,3921.300049,18.39999962,34.70000076,45,1,0,0,0,6.756932259,8.274178505
1336,20,5155.100098,13.80000019,1.700000048,7,1,0,0,0,7.197435379,8.54774189
516,-2,649.2000122,13.69999981,-10.30000019,27,1,0,0,0,6.246106625,6.47574091
931,20,10885,12.69999981,14.5,10,1,0,0,0,6.836259365,9.29514122
815,12,1651.900024,15.10000038,-2.400000095,33,1,0,0,0,6.703187943,7.40968132
1681,20,12915,16.5,-66.69999695,29,1,0,0,0,7.427144051,9.466144562
568,-36,11436,10.19999981,-48.29999924,-19,1,0,0,0,6.342121601,9.344521523
775,7,2210.300049,19.60000038,18.89999962,34,1,0,0,0,6.652863026,7.700883389
1188,9,3737.800049,12.80000019,32.5,15,1,0,0,0,7.080026627,8.226252556
782,-1,1976.699951,15.89999962,-0.600000024,24,1,0,0,0,6.661854744,7.589183807
1170,0,2576,17.29999924,-39.09999847,93,1,0,0,0,7.064759254,7.853992939
1469,8,6309.100098,8.5,93.90000153,79,1,0,0,0,7.292336941,8.74974823
916,-1,2940.5,16.39999962,25.79999924,105,1,0,0,0,6.820016384,7.986334801
1070,-9,1072.599976,19.5,34.79999924,269,1,0,0,0,6.975413799,6.9778409
894,1,1534,19.20000076,-3.700000048,74,1,0,0,0,6.795705795,7.335633755
829,-4,2158.800049,15.89999962,-27.60000038,-18,1,0,0,0,6.720220089,7.677307606
780,17,1736,19.89999962,50.70000076,23,1,0,0,0,6.659294128,7.459338665
2327,10,3598.800049,28.10000038,-28.29999924,104,1,0,0,0,7.752335072,8.188355446
717,20,1413.599976,25,-15.80000019,56,1,0,0,0,6.575075626,7.253894806
1368,9,13538,15,-8.800000191,-43,1,0,0,0,7.221105099,9.513256073
2028,185,69018,12.60000038,2.299999952,10,1,0,0,0,7.614805222,11.14212227
1195,2,6285,20.29999924,6.300000191,49,1,0,0,0,7.08590126,8.745921135
256,19,526.2999878,22.70000076,24.70000076,175,1,0,0,0,5.54517746,6.265871525
775,-10,3195.600098,14.80000019,-32.59999847,12,1,0,0,0,6.652863026,8.069530487
1407,80,2762.800049,13.19999981,-17.39999962,28,1,0,0,0,7.249215126,7.923999786
543,14,1873.099976,10.30000019,-45,-58,1,0,0,0,6.297109127,7.535349846
874,-10,4648.100098,17.70000076,-13.89999962,-6,1,0,0,0,6.773080349,8.444213867
1287,-3,16951,10,-1,-21,1,0,0,0,7.160068989,9.738081932
1248,16,3506.899902,15.60000038,5,54,0,1,0,0,7.129297733,8.162487984
875,-19,5333.100098,6.800000191,27.60000038,-8,0,1,0,0,6.774223804,8.581687927
925,-3,3296.199951,12.39999962,-56.90000153,-21,0,1,0,0,6.82979393,8.100525856
798,-6,2584,13.10000038,-50.5,10,0,1,0,0,6.682108402,7.857093811
760,14,834.4000244,15.80000019,3,55,0,1,0,0,6.633318424,6.726712704
600,-41,4068.699951,12.80000019,-32,-6,0,1,0,0,6.396929741,8.311079025
991,18,2518.600098,15.30000019,13.30000019,65,0,1,0,0,6.898714542,7.831458569
1570,14,10465,0.5,977,36,0,1,0,0,7.358830929,9.255791664
911,1,2682.399902,16.5,31.5,23,0,1,0,0,6.81454277,7.894467354
1360,12,2688.199951,15.10000038,23,67,0,1,0,0,7.215240002,7.896626949
700,-53,6682.299805,13,5.800000191,53,0,1,0,0,6.551080227,8.807217598
741,-50,4879.899902,11.10000038,-77.69999695,-26,0,1,0,0,6.608000755,8.492879868
1097,143,2772.100098,8.899999619,595.5999756,20,0,1,0,0,7.000334263,7.927360535
953,15,1320.400024,17.5,-4.300000191,83,0,1,0,0,6.859614849,7.185689926
441,-7,3408.5,15.89999962,-10,37,0,1,0,0,6.089045048,8.134027481
595,18,1919.699951,14.19999981,31.39999962,61,0,1,0,0,6.388561249,7.559924126
1067,1,19020.5,9.300000191,-37.79999924,4,0,1,0,0,6.972606182,9.853272438
1298,3,4778.299805,9.5,-26.70000076,-2,0,1,0,0,7.168580055,8.471839905
1798,-31,24332,15.5,-59.5,2,0,1,0,0,7.494430065,10.09954739
4143,-10,2678.399902,14.39999962,-12.80000019,42,0,1,0,0,8.329174995,7.892974854
1336,8,4481,11.10000038,10.80000019,15,0,1,0,0,7.197435379,8.407601357
1750,11,14932.09961,15.89999962,-7.800000191,62,0,1,0,0,7.467370987,9.611268044
912,15,2626.399902,16.39999962,0.300000012,70,0,1,0,0,6.815639973,7.873369217
1892,-16,2659.5,8.600000381,-1.399999976,126,0,1,0,0,7.545389652,7.885893345
833,19,1073.199951,24.60000038,14.39999962,51,0,1,0,0,6.72503376,6.97840023
1142,-12,2577.300049,15.39999962,-22.39999962,56,0,1,0,0,7.040536404,7.854497433
1159,13,4293.799805,16.89999962,2.599999905,107,0,1,0,0,7.055312634,8.364927292
1283,16,18164,7.199999809,-47.29999924,14,0,1,0,0,7.156956196,9.807196617
2109,42,9944.400391,11.60000038,-42.20000076,23,0,1,0,0,7.653969288,9.20476532
1039,-21,12719,26.39999962,43.40000153,264,0,1,0,0,6.946013927,9.450852394
992,42,1931.599976,21.39999962,-9.199999809,52,0,1,0,0,6.899723053,7.566103935
1253,4,2993.199951,19.20000076,1.899999976,74,0,1,0,0,7.133296013,8.004097939
721,9,2127.199951,15.10000038,-22.29999924,101,0,1,0,0,6.580639362,7.662561893
1351,4,4211.899902,9,-18,-4,0,1,0,0,7.208600521,8.345668793
1391,25,8489.599609,9.399999619,-27.29999924,26,0,1,0,0,7.237778187,9.046597481
1245,25,12222.7998,19,-20.89999962,52,0,1,0,0,7.126890659,9.411058426
1550,0,11213.40039,3.5,-55.40000153,6,0,1,0,0,7.346010208,9.324864388
2150,-61,5869.600098,22.10000038,-38,68,0,1,0,0,7.673223019,8.677541733
1846,20,6193.799805,10.89999962,-14.69999981,6,0,1,0,0,7.520776272,8.731304169
573,8,3053.199951,15.10000038,-3.799999952,31,0,1,0,0,6.350885868,8.023945808
6640,4,8946,10.19999981,87.59999847,34,0,1,0,0,8.800867081,9.09896183
959,49,4045.199951,17.29999924,-7.800000191,51,0,1,0,0,6.86589098,8.305286407
612,39,3618.899902,33.29999924,-10.5,68,0,1,0,0,6.416732311,8.193924904
1820,69,1796.099976,22.79999924,12.69999981,115,0,1,0,0,7.506591797,7.493372917
1411,2,6703.100098,11.10000038,-37.20000076,28,0,1,0,0,7.252053738,8.810325623
1026,6,2170.300049,12.39999962,134.6000061,162,0,1,0,0,6.933423042,7.682620525
1287,-12,4674,20.89999962,84.19999695,-47,0,0,0,1,7.160068989,8.449770927
800,162,3372,6.699999809,29,60,0,0,0,1,6.684611797,8.123261452
1115,-9,8205,7.099999905,13.89999962,23,0,0,0,1,7.016609669,9.012498856
1631,33,4617,11.80000019,227,75,0,0,0,1,7.396948814,8.4375
1910,23,6964,14,2.700000048,43,0,0,0,1,7.554858685,8.848508835
996,-3,6623,10.10000038,-63.59999847,10,0,0,1,0,6.903747082,8.798303604
918,-35,29797,6.400000095,-95,-28,0,0,1,0,6.822197437,10.30216312
1261,21,5225.5,12.39999962,-54.90000153,1,0,0,1,0,7.139660358,8.561306
1053,-8,3639,17.60000038,-22.29999924,5,0,0,1,0,6.959398746,8.199463844
1221,-43,97649.89844,15.10000038,-85.19999695,-7,0,0,1,0,7.10742569,11.48914433
1738,19,10743.59961,23.60000038,11.5,36,0,0,1,0,7.460490227,9.282065392
3142,15,10236.2998,35.70000076,27.20000076,155,0,0,1,0,8.052615166,9.23369503
1900,26,17802.69922,23.20000076,-7.800000191,142,0,0,1,0,7.549609184,9.78710556
427,21,6158.700195,12.39999962,-17.70000076,95,0,0,1,0,6.056784153,8.725621223
1700,8,6775.200195,44.40000153,37.70000076,61,0,0,1,0,7.438383579,8.821023941
360,103,298.7000122,2.099999905,23.10000038,302,0,0,1,0,5.886104107,5.699440002
459,9,785.2999878,18.39999962,-43.09999847,5,0,0,1,0,6.129050255,6.666065693
1340,5,1368.599976,16.10000038,12.60000038,115,0,0,1,0,7.200424671,7.221543789
729,25,2066.100098,15.10000038,-8.399999619,52,0,0,1,0,6.591673851,7.633418083
223,-6,181.5,22.70000076,32.59999847,295,0,0,1,0,5.407171726,5.201255798
2101,25,10300,23.39999962,46.90000153,76,0,0,1,0,7.650168896,9.239899635
1082,28,11232,25.70000076,-2.400000095,101,0,0,1,0,6.986566544,9.326521873
1781,31,5191.600098,27,141,98,0,0,1,0,7.484930515,8.554797173
791,18,976.7000122,19.89999962,-13.19999981,89,0,0,1,0,6.673297882,6.884179592
2092,-11,7671.5,43.70000076,8.5,80,0,0,1,0,7.645875931,8.945267677
1573,10,6406,16.39999962,-11.5,87,0,0,1,0,7.360739708,8.764990807
1045,9,2917.399902,11.60000038,-98.90000153,203,0,0,1,0,6.951772213,7.978447914
1694,12,3322.899902,24.79999924,23.89999962,100,0,0,1,0,7.434847832,8.108592987
453,20,175.1999969,26.20000076,35.59999847,418,0,0,1,0,6.115891933,5.165928364
1130,1,1686.300049,44.5,3.400000095,99,0,0,1,0,7.02997303,7.43029213
1334,13,514.0999756,22.29999924,62.40000153,358,0,0,1,0,7.195937157,6.242417812
1344,13,3032.699951,22.29999924,62.40000153,36,0,0,1,0,7.20340538,8.017208099
1585,5,4686.899902,35.09999847,2.200000048,111,0,0,1,0,7.368339539,8.452527046
1946,45,8388.099609,13.10000038,5.900000095,88,0,0,1,0,7.573531151,9.03456974
1619,9,7632.799805,11,22.60000038,32,0,0,1,0,7.389564037,8.940210342
1620,12,17453.80078,19.39999962,-12.80000019,128,0,0,1,0,7.390181541,9.767313004
967,-27,5781.100098,28.5,-11,119,0,0,1,0,6.874198437,8.662349701
1431,0,6896.200195,43.90000153,3.5,110,0,0,1,0,7.266129017,8.838726044
1231,9,6503.100098,26.79999924,19.79999924,84,0,0,1,0,7.115581989,8.780034065
770,-4,2715.600098,15.69999981,-2.5,63,0,0,1,0,6.646390438,7.906768322
1594,53,2761.899902,15,27.79999924,85,0,0,1,0,7.37400198,7.923674107
1568,47,5181.399902,28.20000076,-19.10000038,55,0,0,1,0,7.357556343,8.552830696
995,15,1323,15.39999962,74.59999847,195,0,0,1,0,6.902742863,7.187657356
1077,-16,5296,20,27.5,36,0,0,1,0,6.981934547,8.574707031
1161,9,7177,42.20000076,-2.799999952,68,0,0,1,0,7.057036877,8.87863636
1401,1,12183.5,19.60000038,-2.099999905,93,0,0,1,0,7.244941711,9.407837868
1127,4,7863.5,16.20000076,26,152,0,0,1,0,7.027314663,8.969986916
3068,-14,3825.600098,21.5,-27.60000038,142,0,0,1,0,8.028780937,8.249470711
730,7,1110.599976,29.5,20.5,60,0,0,1,0,6.593044758,7.012655735
729,-10,1391.300049,22.60000038,-17.20000076,32,0,0,1,0,6.591673851,7.237993717
11233,17,6047.899902,22.89999962,9.899999619,74,0,0,1,0,9.326611519,8.707466125
949,-11,18908,13,-46.70000076,-3,0,0,1,0,6.855408669,9.847340584
3646,-11,3921.5,7.800000191,-64.19999695,29,0,0,1,0,8.201385498,8.27422905
1502,212,3453.800049,48.09999847,35.09999847,28,0,0,1,0,7.314552784,8.147230148
807,10,1558.5,18,-1,49,0,0,1,0,6.693323612,7.351479053
713,8,962.7999878,18,7.599999905,81,0,0,1,0,6.569481373,6.869845867
1489,0,25848,21.70000076,380.6000061,114,0,0,1,0,7.305860043,10.1599884
736,73,631.5,21.29999924,60.79999924,71,0,0,1,0,6.601230145,6.448097706
1226,53,1728.900024,26.89999962,-7.099999905,84,0,0,1,0,7.111512184,7.455240726
543,112,2669.300049,30.5,24.89999962,323,0,0,1,0,6.297109127,7.889571667
14822,1,2159.199951,19.39999962,-37.29999924,17,0,0,1,0,9.603867531,7.677493095
890,-18,2612.600098,15.60000038,-49,-14,0,0,1,0,6.791221619,7.86810112
1627,6,8270.299805,19.39999962,-3.700000048,104,0,0,1,0,7.394493103,9.020425797
2408,28,44323,29.10000038,9.800000191,160,0,0,1,0,7.786551952,10.6992588
2248,6,764.7000122,40.79999924,44.40000153,191,0,0,1,0,7.717796326,6.639483452
787,20,5167.5,13.69999981,-4,34,0,0,0,1,6.668228149,8.550144196
474,-5,2159.300049,11.10000038,-58.20000076,16,0,0,0,1,6.161207199,7.677539349
439,7,2617.100098,10.80000019,-16.10000038,65,0,0,0,1,6.084499359,7.869822025
465,11,2367.699951,5.099999905,-25,43,0,0,0,1,6.142037392,7.769674301
594,33,2744,12.30000019,-12.19999981,76,0,0,0,1,6.386879444,7.917171955
688,-6,2357.899902,7.400000095,-9.699999809,33,0,0,0,1,6.533788681,7.765526772
607,12,5262,6.199999809,-94.80000305,59,0,0,0,1,6.408528805,8.568266869
634,44,5738.899902,12.69999981,-7,38,0,0,0,1,6.452048779,8.655022621
532,2,2714.899902,10.60000038,-21.20000076,35,0,0,0,1,6.276643276,7.906510353
441,39,3306.699951,7.400000095,13,150,0,0,0,1,6.089045048,8.10370636
694,18,3532.5,12.60000038,-13.80000019,37,0,0,0,1,6.542471886,8.169760704
520,-6,3681.5,12.80000019,-7.699999809,64,0,0,0,1,6.253829002,8.211075783
757,12,3982.100098,2.900000095,45.40000153,197,0,0,0,1,6.62936306,8.289565086
668,30,2996,13.5,-3.299999952,81,0,0,0,1,6.504288197,8.005033493
803,18,4178.600098,10.69999981,-29.89999962,52,0,0,0,1,6.688354492,8.337731361
500,3,2616.300049,11.89999962,-1.299999952,25,0,0,0,1,6.214608192,7.869516373
552,-5,2064.5,12.89999962,-16.79999924,37,0,0,0,1,6.313548088,7.632643223
412,-5,2225.5,10.10000038,-27.39999962,13,0,0,0,1,6.021023273,7.707736969
1100,58,9470.099609,7.300000191,76.59999847,82,0,0,0,1,7.003065586,9.155894279
959,26,3783.199951,14.60000038,5,65,0,0,0,1,6.86589098,8.238325119
333,34,2388.699951,13.80000019,6.5,59,0,0,0,1,5.808142662,7.778504372
503,-19,3705.199951,8.899999619,-96.80000305,29,0,0,0,1,6.220590115,8.217492104
448,-8,1411.699951,14,-33.5,14,0,0,0,1,6.104793072,7.252550125
732,7,4800.100098,12.89999962,-11.19999981,36,0,0,0,1,6.595780373,8.476391792
720,8,1771.900024,14.5,13.60000038,78,0,0,0,1,6.579251289,7.479807854
808,-16,7198.5,14.69999981,7.400000095,49,0,0,0,1,6.694561958,8.881628036
930,10,1509.099976,9,20.5,131,0,0,0,1,6.835184574,7.319268703
525,3,1097.099976,15.5,20.10000038,72,0,0,0,1,6.26339817,7.000425816
658,32,4542.600098,12.10000038,-7.800000191,68,0,0,0,1,6.489204884,8.421255112
555,6,2023,13.69999981,-14.60000038,60,0,0,0,1,6.318968296,7.612336636
626,0,1442.5,14.39999962,-10.19999981,62,0,0,0,1,6.439350605,7.274133205
